Disease;Sym1;Sym2;Sym3;Sym4;Sym5;Sym6
coronary heart disease;Shortness of breath;dilated pupils;;the appearance of pale gray skin tone;the pain experienced in the neck;burning sensation in the chest
coronary heart disease;burning sensation in the chest;;dilated pupils;the pain experienced in the neck;Shortness of breath;the appearance of pale gray skin tone
coronary heart disease;dilated pupils;Shortness of breath;the appearance of pale gray skin tone;burning sensation in the chest;;the pain experienced in the neck
coronary heart disease;the pain experienced in the neck;Shortness of breath;;dilated pupils;the appearance of pale gray skin tone;burning sensation in the chest
coronary heart disease;burning sensation in the chest;;Shortness of breath;the pain experienced in the neck;the appearance of pale gray skin tone;dilated pupils
coronary heart disease;the appearance of pale gray skin tone;the pain experienced in the neck;burning sensation in the chest;;Shortness of breath;dilated pupils
coronary heart disease;burning sensation in the chest;the pain experienced in the neck;Shortness of breath;dilated pupils;the appearance of pale gray skin tone;
coronary heart disease;the inability to bend over;loss of consciousness;the pain radiates to the back;;Pain behind the breastbone;the pain experienced in the shoulder
coronary heart disease;the pain experienced in the shoulder;the inability to bend over;loss of consciousness;Pain behind the breastbone;;the pain radiates to the back
coronary heart disease;the pain experienced in the shoulder;the pain radiates to the back;the inability to bend over;Pain behind the breastbone;loss of consciousness;
coronary heart disease;the pain radiates to the back;the pain experienced in the shoulder;;the inability to bend over;loss of consciousness;Pain behind the breastbone
coronary heart disease;the inability to bend over;loss of consciousness;Pain behind the breastbone;;the pain radiates to the back;the pain experienced in the shoulder
coronary heart disease;loss of consciousness;Pain behind the breastbone;the pain radiates to the back;;the pain experienced in the shoulder;the inability to bend over
coronary heart disease;the pain experienced in the shoulder;the pain radiates to the back;the inability to bend over;loss of consciousness;Pain behind the breastbone;
coronary heart disease;loss of consciousness;Pain behind the breastbone;the pain experienced in the shoulder;;the pain radiates to the back;the inability to bend over
sciatica;hip pain;pain when walking;pain in the buttocks;;lower back pain;the inability to bend over
sciatica;hip pain;pain in the buttocks;the inability to bend over;;pain when walking;lower back pain
sciatica;pain when walking;the inability to bend over;pain in the buttocks;lower back pain;hip pain;
sciatica;the inability to bend over;pain when walking;pain in the buttocks;lower back pain;;hip pain
sciatica;hip pain;;lower back pain;the inability to bend over;pain in the buttocks;pain when walking
sciatica;lower back pain;the inability to bend over;hip pain;pain when walking;;pain in the buttocks
sciatica;;pain in the buttocks;pain when walking;hip pain;lower back pain;the inability to bend over
sciatica;;pain in the buttocks;hip pain;the inability to bend over;lower back pain;pain when walking
sciatica;pain when walking;;violation of skin sensitivity at the site of lesion;sharp back pain;the limitation in the back;increased pain during movement
sciatica;pain when walking;the limitation in the back;sharp back pain;violation of skin sensitivity at the site of lesion;;increased pain during movement
sciatica;the limitation in the back;increased pain during movement;sharp back pain;violation of skin sensitivity at the site of lesion;pain when walking;
sciatica;violation of skin sensitivity at the site of lesion;increased pain during movement;sharp back pain;pain when walking;;the limitation in the back
sciatica;;pain when walking;violation of skin sensitivity at the site of lesion;the limitation in the back;sharp back pain;increased pain during movement
sciatica;sharp back pain;pain when walking;the limitation in the back;increased pain during movement;violation of skin sensitivity at the site of lesion;
sciatica;increased pain during movement;violation of skin sensitivity at the site of lesion;;pain when walking;sharp back pain;the limitation in the back
sciatica;sharp back pain;the limitation in the back;violation of skin sensitivity at the site of lesion;increased pain during movement;;pain when walking
sciatica;violation of the sensitivity;;muscle weakness;a feeling of numbness;the inability to bend over;pain in the buttocks
sciatica;violation of the sensitivity;the inability to bend over;muscle weakness;;a feeling of numbness;pain in the buttocks
sciatica;;violation of the sensitivity;muscle weakness;a feeling of numbness;pain in the buttocks;the inability to bend over
sciatica;a feeling of numbness;violation of the sensitivity;pain in the buttocks;;the inability to bend over;muscle weakness
sciatica;;a feeling of numbness;the inability to bend over;muscle weakness;pain in the buttocks;violation of the sensitivity
sciatica;the inability to bend over;a feeling of numbness;violation of the sensitivity;muscle weakness;pain in the buttocks;
sciatica;violation of the sensitivity;;the inability to bend over;muscle weakness;a feeling of numbness;pain in the buttocks
sciatica;violation of the sensitivity;the inability to bend over;muscle weakness;;pain in the buttocks;a feeling of numbness
intervertebral hernia in the lumbar;;numbness of the feet;severe pain;shooting pain after sudden movements;urinary incontinence;numbness in the groin area
intervertebral hernia in the lumbar;numbness of the feet;severe pain;shooting pain after sudden movements;;numbness in the groin area;urinary incontinence
intervertebral hernia in the lumbar;urinary incontinence;numbness of the feet;severe pain;shooting pain after sudden movements;numbness in the groin area;
intervertebral hernia in the lumbar;numbness of the feet;shooting pain after sudden movements;numbness in the groin area;severe pain;;urinary incontinence
intervertebral hernia in the lumbar;shooting pain after sudden movements;numbness of the feet;numbness in the groin area;;severe pain;urinary incontinence
intervertebral hernia in the lumbar;severe pain;shooting pain after sudden movements;numbness in the groin area;urinary incontinence;;numbness of the feet
intervertebral hernia in the lumbar;urinary incontinence;severe pain;shooting pain after sudden movements;numbness in the groin area;;numbness of the feet
intervertebral hernia in the lumbar;urinary incontinence;severe pain;;numbness in the groin area;shooting pain after sudden movements;numbness of the feet
intervertebral hernia in the lumbar;the pain experienced in the legs;;diarrhea;problem with brecciation;the pain experienced in the hip;constipation
intervertebral hernia in the lumbar;problem with brecciation;constipation;diarrhea;the pain experienced in the legs;the pain experienced in the hip;
intervertebral hernia in the lumbar;the pain experienced in the hip;diarrhea;the pain experienced in the legs;constipation;;problem with brecciation
intervertebral hernia in the lumbar;the pain experienced in the legs;diarrhea;;constipation;the pain experienced in the hip;problem with brecciation
intervertebral hernia in the lumbar;the pain experienced in the hip;;problem with brecciation;the pain experienced in the legs;constipation;diarrhea
intervertebral hernia in the lumbar;constipation;diarrhea;;the pain experienced in the hip;the pain experienced in the legs;problem with brecciation
intervertebral hernia in the lumbar;;the pain experienced in the legs;constipation;diarrhea;the pain experienced in the hip;problem with brecciation
intervertebral hernia in the lumbar;diarrhea;the pain experienced in the hip;constipation;problem with brecciation;the pain experienced in the legs;
intervertebral hernia in the cervical and thoracic;headache;pain at sharp movements;numbness of fingers;back pain;;dizziness
intervertebral hernia in the cervical and thoracic;pain at sharp movements;dizziness;;headache;back pain;numbness of fingers
intervertebral hernia in the cervical and thoracic;headache;;numbness of fingers;back pain;pain at sharp movements;dizziness
intervertebral hernia in the cervical and thoracic;;dizziness;back pain;headache;numbness of fingers;pain at sharp movements
intervertebral hernia in the cervical and thoracic;back pain;numbness of fingers;headache;dizziness;;pain at sharp movements
intervertebral hernia in the cervical and thoracic;headache;;back pain;numbness of fingers;pain at sharp movements;dizziness
intervertebral hernia in the cervical and thoracic;numbness of fingers;headache;dizziness;pain at sharp movements;back pain;
intervertebral hernia in the cervical and thoracic;numbness of fingers;pain at sharp movements;back pain;headache;;dizziness
intervertebral hernia in the cervical and thoracic;pain at sharp movements;pain in the hand;dizziness;shoulder pain;;pressure surges
intervertebral hernia in the cervical and thoracic;dizziness;pain at sharp movements;pressure surges;;pain in the hand;shoulder pain
intervertebral hernia in the cervical and thoracic;pain in the hand;pressure surges;pain at sharp movements;shoulder pain;dizziness;
intervertebral hernia in the cervical and thoracic;pressure surges;dizziness;shoulder pain;;pain at sharp movements;pain in the hand
intervertebral hernia in the cervical and thoracic;pain in the hand;;shoulder pain;dizziness;pressure surges;pain at sharp movements
intervertebral hernia in the cervical and thoracic;;pain at sharp movements;pain in the hand;dizziness;pressure surges;shoulder pain
intervertebral hernia in the cervical and thoracic;pain in the hand;dizziness;pain at sharp movements;pressure surges;;shoulder pain
intervertebral hernia in the cervical and thoracic;;pain in the hand;shoulder pain;dizziness;pain at sharp movements;pressure surges
"Absence seizure ";the smacking lips;small movements with both hands;frequent blinking;chewing movements;" rubbing of the fingers";sudden sinking
"Absence seizure ";sudden sinking;the smacking lips;chewing movements;frequent blinking;" rubbing of the fingers";small movements with both hands
"Absence seizure ";chewing movements;" rubbing of the fingers";frequent blinking;sudden sinking;the smacking lips;small movements with both hands
"Absence seizure ";sudden sinking;the smacking lips;frequent blinking;chewing movements;" rubbing of the fingers";small movements with both hands
"Absence seizure ";sudden sinking;chewing movements;" rubbing of the fingers";small movements with both hands;frequent blinking;the smacking lips
"Absence seizure ";the smacking lips;sudden sinking;frequent blinking;small movements with both hands;" rubbing of the fingers";chewing movements
"Absence seizure ";chewing movements;the smacking lips;frequent blinking;sudden sinking;small movements with both hands;" rubbing of the fingers"
"Absence seizure ";chewing movements;frequent blinking;small movements with both hands;the smacking lips;sudden sinking;" rubbing of the fingers"
Abscess tooth;Increased body temperature;Swelling on the face or cheek;Strong constant throbbing tooth pain;Increased sensitivity to hot and cold;Painful enlarged submandibular or cervical lymph nodes;Pain when pressure is applied on the affected tooth during biting or chewing food
Abscess tooth;Painful enlarged submandibular or cervical lymph nodes;Increased body temperature;Pain when pressure is applied on the affected tooth during biting or chewing food;Swelling on the face or cheek;Increased sensitivity to hot and cold;Strong constant throbbing tooth pain
Abscess tooth;Painful enlarged submandibular or cervical lymph nodes;Strong constant throbbing tooth pain;Pain when pressure is applied on the affected tooth during biting or chewing food;Increased body temperature;Swelling on the face or cheek;Increased sensitivity to hot and cold
Abscess tooth;Pain when pressure is applied on the affected tooth during biting or chewing food;Swelling on the face or cheek;Painful enlarged submandibular or cervical lymph nodes;Strong constant throbbing tooth pain;Increased sensitivity to hot and cold;Increased body temperature
Abscess tooth;Increased body temperature;Painful enlarged submandibular or cervical lymph nodes;Increased sensitivity to hot and cold;Pain when pressure is applied on the affected tooth during biting or chewing food;Swelling on the face or cheek;Strong constant throbbing tooth pain
Abscess tooth;Pain when pressure is applied on the affected tooth during biting or chewing food;Increased body temperature;Swelling on the face or cheek;Increased sensitivity to hot and cold;Painful enlarged submandibular or cervical lymph nodes;Strong constant throbbing tooth pain
Abscess tooth;Swelling on the face or cheek;Strong constant throbbing tooth pain;Increased body temperature;Pain when pressure is applied on the affected tooth during biting or chewing food;Increased sensitivity to hot and cold;Painful enlarged submandibular or cervical lymph nodes
Abscess tooth;Pain when pressure is applied on the affected tooth during biting or chewing food;Swelling on the face or cheek;Increased body temperature;Increased sensitivity to hot and cold;Strong constant throbbing tooth pain;Painful enlarged submandibular or cervical lymph nodes
Adenomyosis;;Uterine enlargement;Heavy or prolonged menstrual bleeding;;Chronic pain in the pelvic area;stabbing pain in the pelvic region
Adenomyosis;Uterine enlargement;Chronic pain in the pelvic area;Heavy or prolonged menstrual bleeding;stabbing pain in the pelvic region;;
Adenomyosis;;;Uterine enlargement;stabbing pain in the pelvic region;Heavy or prolonged menstrual bleeding;Chronic pain in the pelvic area
Adenomyosis;stabbing pain in the pelvic region;;Heavy or prolonged menstrual bleeding;;Uterine enlargement;Chronic pain in the pelvic area
Adenomyosis;Uterine enlargement;stabbing pain in the pelvic region;Chronic pain in the pelvic area;Heavy or prolonged menstrual bleeding;;
Adenomyosis;Chronic pain in the pelvic area;;Uterine enlargement;Heavy or prolonged menstrual bleeding;stabbing pain in the pelvic region;
Adenomyosis;;;Chronic pain in the pelvic area;stabbing pain in the pelvic region;Heavy or prolonged menstrual bleeding;Uterine enlargement
Adenomyosis;;Heavy or prolonged menstrual bleeding;;stabbing pain in the pelvic region;Uterine enlargement;Chronic pain in the pelvic area
Adrenoleukodystrophy;Spasticity in the legs;Violation of the sensitivity;The development of adrenal insufficiency;;hyperpigmentation of the skin;Weakness in the legs
Adrenoleukodystrophy;Violation of the sensitivity;The development of adrenal insufficiency;Spasticity in the legs;;Weakness in the legs;hyperpigmentation of the skin
Adrenoleukodystrophy;hyperpigmentation of the skin;The development of adrenal insufficiency;;Spasticity in the legs;Violation of the sensitivity;Weakness in the legs
Adrenoleukodystrophy;hyperpigmentation of the skin;Weakness in the legs;The development of adrenal insufficiency;;Violation of the sensitivity;Spasticity in the legs
Adrenoleukodystrophy;;Violation of the sensitivity;Spasticity in the legs;Weakness in the legs;hyperpigmentation of the skin;The development of adrenal insufficiency
Adrenoleukodystrophy;The development of adrenal insufficiency;Spasticity in the legs;Weakness in the legs;hyperpigmentation of the skin;;Violation of the sensitivity
Adrenoleukodystrophy;;The development of adrenal insufficiency;Violation of the sensitivity;Weakness in the legs;Spasticity in the legs;hyperpigmentation of the skin
Adrenoleukodystrophy;hyperpigmentation of the skin;Violation of the sensitivity;Spasticity in the legs;;The development of adrenal insufficiency;Weakness in the legs
Acanthosis black;;;;The appearance of dark age spots;the odor of the skin;
Acanthosis black;The appearance of dark age spots;;;;;the odor of the skin
Acanthosis black;the odor of the skin;;;;The appearance of dark age spots;
Acanthosis black;;the odor of the skin;;;;The appearance of dark age spots
Acanthosis black;;the odor of the skin;;;;The appearance of dark age spots
Acanthosis black;the odor of the skin;;;The appearance of dark age spots;;
Acanthosis black;;the odor of the skin;;;The appearance of dark age spots;
Acanthosis black;;;;the odor of the skin;The appearance of dark age spots;
Acromegaly;;;A disproportionate increase in the hands and feet;;A gradual change in the shape of the face;
Acromegaly;A gradual change in the shape of the face;;A disproportionate increase in the hands and feet;;;
Acromegaly;;;A gradual change in the shape of the face;;A disproportionate increase in the hands and feet;
Acromegaly;A disproportionate increase in the hands and feet;;;;;A gradual change in the shape of the face
Acromegaly;;A disproportionate increase in the hands and feet;;;A gradual change in the shape of the face;
Acromegaly;;;A disproportionate increase in the hands and feet;;A gradual change in the shape of the face;
Acromegaly;A gradual change in the shape of the face;;A disproportionate increase in the hands and feet;;;
Acromegaly;;A gradual change in the shape of the face;A disproportionate increase in the hands and feet;;;
Allergic to dust mites;black eyes;sneezing;wheezing sound on exhale;watery eyes;shortness of breath;redness of the eyes
Allergic to dust mites;watery eyes;sneezing;shortness of breath;redness of the eyes;wheezing sound on exhale;black eyes
Allergic to dust mites;redness of the eyes;black eyes;sneezing;wheezing sound on exhale;shortness of breath;watery eyes
Allergic to dust mites;wheezing sound on exhale;black eyes;watery eyes;shortness of breath;sneezing;redness of the eyes
Allergic to dust mites;black eyes;redness of the eyes;shortness of breath;wheezing sound on exhale;sneezing;watery eyes
Allergic to dust mites;sneezing;watery eyes;black eyes;shortness of breath;redness of the eyes;wheezing sound on exhale
Allergic to dust mites;black eyes;sneezing;shortness of breath;watery eyes;wheezing sound on exhale;redness of the eyes
Allergic to dust mites;redness of the eyes;black eyes;sneezing;watery eyes;wheezing sound on exhale;shortness of breath
Allergic to eggs;nausea;shortness of breath;Skin rashes;Nasal congestion;cough;
Allergic to eggs;cough;nausea;;shortness of breath;Nasal congestion;Skin rashes
Allergic to eggs;nausea;Nasal congestion;cough;Skin rashes;;shortness of breath
Allergic to eggs;shortness of breath;Skin rashes;cough;;nausea;Nasal congestion
Allergic to eggs;cough;shortness of breath;;nausea;Nasal congestion;Skin rashes
Allergic to eggs;cough;Skin rashes;;Nasal congestion;nausea;shortness of breath
Allergic to eggs;Nasal congestion;Skin rashes;;shortness of breath;cough;nausea
Allergic to eggs;shortness of breath;;Skin rashes;Nasal congestion;cough;nausea
Acute appendicitis;;pain in the stomach;dry mouth;palpitations;Temperature rise;local pain in the right iliac region
Acute appendicitis;local pain in the right iliac region;;pain in the stomach;palpitations;Temperature rise;dry mouth
Acute appendicitis;Temperature rise;palpitations;;pain in the stomach;local pain in the right iliac region;dry mouth
Acute appendicitis;;dry mouth;pain in the stomach;palpitations;Temperature rise;local pain in the right iliac region
Acute appendicitis;dry mouth;pain in the stomach;Temperature rise;palpitations;;local pain in the right iliac region
Acute appendicitis;local pain in the right iliac region;pain in the stomach;dry mouth;palpitations;;Temperature rise
Acute appendicitis;;dry mouth;palpitations;pain in the stomach;Temperature rise;local pain in the right iliac region
Acute appendicitis;palpitations;;dry mouth;local pain in the right iliac region;pain in the stomach;Temperature rise
Astigmatism;blurred vision at night;;headaches;eye strain;distorted vision;strabismus
Astigmatism;headaches;eye strain;distorted vision;strabismus;blurred vision at night;
Astigmatism;strabismus;blurred vision at night;;distorted vision;eye strain;headaches
Astigmatism;blurred vision at night;headaches;eye strain;distorted vision;strabismus;
Astigmatism;distorted vision;eye strain;blurred vision at night;;strabismus;headaches
Astigmatism;headaches;strabismus;distorted vision;blurred vision at night;;eye strain
Astigmatism;;distorted vision;headaches;blurred vision at night;eye strain;strabismus
Astigmatism;distorted vision;blurred vision at night;eye strain;;headaches;strabismus
Atelectasis;;cough;shortness of breath;;fast breathing;shortness of breath
Atelectasis;cough;fast breathing;;shortness of breath;;shortness of breath
Atelectasis;;cough;shortness of breath;fast breathing;;shortness of breath
Atelectasis;cough;;shortness of breath;fast breathing;shortness of breath;
Atelectasis;cough;shortness of breath;fast breathing;;;shortness of breath
Atelectasis;shortness of breath;;fast breathing;;cough;shortness of breath
Atelectasis;shortness of breath;cough;;shortness of breath;;fast breathing
Atelectasis;;cough;;shortness of breath;fast breathing;shortness of breath
Protein in the urine;Change in color of urine;poor appetite;Drowsiness;edema;Joint pain;Nausea
Protein in the urine;Nausea;Change in color of urine;Joint pain;Drowsiness;poor appetite;edema
Protein in the urine;Drowsiness;Change in color of urine;poor appetite;Nausea;edema;Joint pain
Protein in the urine;Nausea;Drowsiness;Joint pain;poor appetite;Change in color of urine;edema
Protein in the urine;Joint pain;Drowsiness;poor appetite;Nausea;edema;Change in color of urine
Protein in the urine;poor appetite;Change in color of urine;Drowsiness;edema;Joint pain;Nausea
Protein in the urine;Drowsiness;edema;Nausea;Joint pain;poor appetite;Change in color of urine
Protein in the urine;edema;Nausea;Change in color of urine;Joint pain;poor appetite;Drowsiness
Sinusitis chronic;" watery eyes";;The feeling of pressure;shortness of breath;;mucous discharge from the nose
Sinusitis chronic;;" watery eyes";mucous discharge from the nose;The feeling of pressure;;shortness of breath
Sinusitis chronic;shortness of breath;" watery eyes";;The feeling of pressure;;mucous discharge from the nose
Sinusitis chronic;shortness of breath;mucous discharge from the nose;;;The feeling of pressure;" watery eyes"
Sinusitis chronic;The feeling of pressure;mucous discharge from the nose;;" watery eyes";shortness of breath;
Sinusitis chronic;The feeling of pressure;;shortness of breath;" watery eyes";;mucous discharge from the nose
Sinusitis chronic;mucous discharge from the nose;shortness of breath;The feeling of pressure;;" watery eyes";
Sinusitis chronic;;shortness of breath;The feeling of pressure;;" watery eyes";mucous discharge from the nose
Hemorrhoids;discharge of blood with stool;mucus;;;discomfort in the anal canal;anal itching
Hemorrhoids;;mucus;discharge of blood with stool;discomfort in the anal canal;;anal itching
Hemorrhoids;mucus;discomfort in the anal canal;discharge of blood with stool;;anal itching;
Hemorrhoids;;;discomfort in the anal canal;mucus;anal itching;discharge of blood with stool
Hemorrhoids;;mucus;;discomfort in the anal canal;anal itching;discharge of blood with stool
Hemorrhoids;anal itching;;discharge of blood with stool;;discomfort in the anal canal;mucus
Hemorrhoids;;discharge of blood with stool;anal itching;discomfort in the anal canal;mucus;
Hemorrhoids;mucus;discomfort in the anal canal;anal itching;;;discharge of blood with stool
Hyperaldosteronism primary;high blood pressure;"frequent urination ";hypokalemia;muscle spasms;Resistant hypertension;weakness
Hyperaldosteronism primary;weakness;high blood pressure;"frequent urination ";hypokalemia;Resistant hypertension;muscle spasms
Hyperaldosteronism primary;Resistant hypertension;hypokalemia;high blood pressure;"frequent urination ";muscle spasms;weakness
Hyperaldosteronism primary;muscle spasms;Resistant hypertension;weakness;hypokalemia;"frequent urination ";high blood pressure
Hyperaldosteronism primary;Resistant hypertension;high blood pressure;weakness;hypokalemia;muscle spasms;"frequent urination "
Hyperaldosteronism primary;weakness;high blood pressure;"frequent urination ";muscle spasms;hypokalemia;Resistant hypertension
Hyperaldosteronism primary;hypokalemia;muscle spasms;"frequent urination ";weakness;high blood pressure;Resistant hypertension
Hyperaldosteronism primary;"frequent urination ";high blood pressure;Resistant hypertension;muscle spasms;hypokalemia;weakness
Hyperkalemia;weakness;vomiting;arrhythmia;convulsive twitching of the muscles;tingling in the extremities;stomach cramps
Hyperkalemia;weakness;arrhythmia;convulsive twitching of the muscles;stomach cramps;tingling in the extremities;vomiting
Hyperkalemia;arrhythmia;weakness;stomach cramps;tingling in the extremities;convulsive twitching of the muscles;vomiting
Hyperkalemia;tingling in the extremities;stomach cramps;convulsive twitching of the muscles;weakness;arrhythmia;vomiting
Hyperkalemia;stomach cramps;weakness;convulsive twitching of the muscles;tingling in the extremities;arrhythmia;vomiting
Hyperkalemia;weakness;vomiting;stomach cramps;convulsive twitching of the muscles;arrhythmia;tingling in the extremities
Hyperkalemia;convulsive twitching of the muscles;stomach cramps;arrhythmia;tingling in the extremities;vomiting;weakness
Hyperkalemia;convulsive twitching of the muscles;weakness;stomach cramps;vomiting;arrhythmia;tingling in the extremities
Hypercalcemia;Fatigue;Increased frequency of urination;nausea;abdominal pain;Arrhythmia;Constipation
Hypercalcemia;Constipation;nausea;Increased frequency of urination;Fatigue;abdominal pain;Arrhythmia
Hypercalcemia;Arrhythmia;abdominal pain;Fatigue;Increased frequency of urination;Constipation;nausea
Hypercalcemia;Arrhythmia;Constipation;Fatigue;abdominal pain;nausea;Increased frequency of urination
Hypercalcemia;Fatigue;nausea;Constipation;abdominal pain;Arrhythmia;Increased frequency of urination
Hypercalcemia;nausea;Fatigue;Constipation;Increased frequency of urination;abdominal pain;Arrhythmia
Hypercalcemia;nausea;Fatigue;Arrhythmia;abdominal pain;Constipation;Increased frequency of urination
Hypercalcemia;Arrhythmia;Fatigue;Constipation;nausea;Increased frequency of urination;abdominal pain
Hypoxemia;drowsiness;shortness of breath;palpitations;weakness;pale skin;dizziness
Hypoxemia;pale skin;drowsiness;dizziness;palpitations;weakness;shortness of breath
Hypoxemia;dizziness;palpitations;weakness;drowsiness;shortness of breath;pale skin
Hypoxemia;weakness;dizziness;palpitations;pale skin;shortness of breath;drowsiness
Hypoxemia;drowsiness;shortness of breath;weakness;pale skin;dizziness;palpitations
Hypoxemia;shortness of breath;pale skin;drowsiness;weakness;palpitations;dizziness
Hypoxemia;shortness of breath;weakness;pale skin;drowsiness;dizziness;palpitations
Hypoxemia;shortness of breath;dizziness;weakness;drowsiness;pale skin;palpitations
Glioma;seizures muscle contraction;visual disturbances;nausea;speech disorder;headaches;violations of the circulation of cerebrospinal fluid
Glioma;nausea;headaches;visual disturbances;violations of the circulation of cerebrospinal fluid;speech disorder;seizures muscle contraction
Glioma;visual disturbances;headaches;seizures muscle contraction;violations of the circulation of cerebrospinal fluid;speech disorder;nausea
Glioma;headaches;speech disorder;visual disturbances;violations of the circulation of cerebrospinal fluid;seizures muscle contraction;nausea
Glioma;nausea;seizures muscle contraction;headaches;violations of the circulation of cerebrospinal fluid;speech disorder;visual disturbances
Glioma;violations of the circulation of cerebrospinal fluid;visual disturbances;speech disorder;nausea;seizures muscle contraction;headaches
Glioma;headaches;visual disturbances;violations of the circulation of cerebrospinal fluid;speech disorder;nausea;seizures muscle contraction
Glioma;headaches;violations of the circulation of cerebrospinal fluid;visual disturbances;nausea;seizures muscle contraction;speech disorder
Flu;headaches;sore throat;fever;severe discomfort;cough;muscle pain
Flu;severe discomfort;muscle pain;fever;headaches;cough;sore throat
Flu;severe discomfort;headaches;sore throat;muscle pain;cough;fever
Flu;muscle pain;severe discomfort;sore throat;cough;fever;headaches
Flu;sore throat;cough;muscle pain;headaches;fever;severe discomfort
Flu;cough;sore throat;headaches;muscle pain;severe discomfort;fever
Flu;headaches;sore throat;severe discomfort;cough;muscle pain;fever
Flu;fever;muscle pain;headaches;sore throat;severe discomfort;cough
The bird flu;sore throat;fever;;cough;Chills;mucous discharge from the nose
The bird flu;mucous discharge from the nose;Chills;sore throat;;cough;fever
The bird flu;mucous discharge from the nose;;sore throat;Chills;fever;cough
The bird flu;cough;;mucous discharge from the nose;Chills;fever;sore throat
The bird flu;mucous discharge from the nose;Chills;cough;fever;sore throat;
The bird flu;sore throat;Chills;mucous discharge from the nose;;cough;fever
The bird flu;sore throat;mucous discharge from the nose;;cough;Chills;fever
The bird flu;cough;fever;;sore throat;Chills;mucous discharge from the nose
Hernia hiatal;;dull pressive pain in the epigastric region;;;;
Hernia hiatal;;;dull pressive pain in the epigastric region;;;
Hernia hiatal;;;;dull pressive pain in the epigastric region;;
Hernia hiatal;dull pressive pain in the epigastric region;;;;;
Hernia hiatal;;dull pressive pain in the epigastric region;;;;
Hernia hiatal;;;dull pressive pain in the epigastric region;;;
Hernia hiatal;;;;;;dull pressive pain in the epigastric region
Hernia hiatal;;;;dull pressive pain in the epigastric region;;
Dumping syndrome;profuse sweating;weakness;feeling of fullness in the stomach;headache;heat;copious urination
Dumping syndrome;profuse sweating;feeling of fullness in the stomach;heat;copious urination;headache;weakness
Dumping syndrome;weakness;copious urination;heat;headache;profuse sweating;feeling of fullness in the stomach
Dumping syndrome;weakness;feeling of fullness in the stomach;copious urination;headache;profuse sweating;heat
Dumping syndrome;weakness;copious urination;feeling of fullness in the stomach;headache;heat;profuse sweating
Dumping syndrome;copious urination;heat;weakness;headache;feeling of fullness in the stomach;profuse sweating
Dumping syndrome;headache;profuse sweating;copious urination;feeling of fullness in the stomach;heat;weakness
Dumping syndrome;heat;copious urination;weakness;profuse sweating;headache;feeling of fullness in the stomach
Deformity of the nasal bones;Discharge from the nose;oxygen starvation;Difficulty breathing through the nose;spasms of the glottis;Dryness in the throat;headache in the supraorbital region
Deformity of the nasal bones;headache in the supraorbital region;oxygen starvation;Discharge from the nose;Difficulty breathing through the nose;Dryness in the throat;spasms of the glottis
Deformity of the nasal bones;Discharge from the nose;spasms of the glottis;headache in the supraorbital region;Dryness in the throat;Difficulty breathing through the nose;oxygen starvation
Deformity of the nasal bones;Difficulty breathing through the nose;oxygen starvation;Dryness in the throat;Discharge from the nose;headache in the supraorbital region;spasms of the glottis
Deformity of the nasal bones;Discharge from the nose;Difficulty breathing through the nose;Dryness in the throat;oxygen starvation;headache in the supraorbital region;spasms of the glottis
Deformity of the nasal bones;oxygen starvation;Difficulty breathing through the nose;spasms of the glottis;Discharge from the nose;Dryness in the throat;headache in the supraorbital region
Deformity of the nasal bones;Dryness in the throat;oxygen starvation;Difficulty breathing through the nose;spasms of the glottis;headache in the supraorbital region;Discharge from the nose
Deformity of the nasal bones;spasms of the glottis;Discharge from the nose;headache in the supraorbital region;oxygen starvation;Dryness in the throat;Difficulty breathing through the nose
Jaundice;Yellowness of the skin;Darkening of urine;headache;Discoloration of feces;nausea;weakness
Jaundice;weakness;Darkening of urine;Discoloration of feces;Yellowness of the skin;nausea;headache
Jaundice;Yellowness of the skin;Discoloration of feces;nausea;weakness;headache;Darkening of urine
Jaundice;Darkening of urine;Yellowness of the skin;weakness;headache;Discoloration of feces;nausea
Jaundice;headache;Darkening of urine;weakness;Discoloration of feces;nausea;Yellowness of the skin
Jaundice;Discoloration of feces;nausea;headache;weakness;Darkening of urine;Yellowness of the skin
Jaundice;nausea;headache;Discoloration of feces;Darkening of urine;weakness;Yellowness of the skin
Jaundice;Yellowness of the skin;nausea;Discoloration of feces;headache;Darkening of urine;weakness
Legionellez;cough;headache;Heat;Loss of appetite;malaise;muscle pain
Legionellez;cough;Loss of appetite;muscle pain;malaise;Heat;headache
Legionellez;Heat;cough;headache;malaise;muscle pain;Loss of appetite
Legionellez;Loss of appetite;headache;Heat;muscle pain;malaise;cough
Legionellez;cough;Heat;headache;Loss of appetite;muscle pain;malaise
Legionellez;Heat;muscle pain;cough;headache;malaise;Loss of appetite
Legionellez;malaise;Heat;muscle pain;headache;Loss of appetite;cough
Legionellez;malaise;headache;Heat;muscle pain;Loss of appetite;cough
